Resource,Zone,New_Build,Can_Retire,Existing_Cap_MW,region,technology,cluster,Var_OM_Cost_per_MWh_In,Max_Flexible_Demand_Delay,Max_Flexible_Demand_Advance,Flexible_Demand_Energy_Eff,variable_CF
NY_Z_A_res_water_heat_1,2,0,1,19.6,NY_Z_A,res_water_heat,1,0.0,2.0,0.0,1.0,0.34481900718955993
NY_Z_B_res_water_heat_1,3,0,1,14.9,NY_Z_B,res_water_heat,1,0.0,2.0,0.0,1.0,0.3448190071895599
NY_Z_C&E_res_water_heat_1,4,0,1,29.4,NY_Z_C&E,res_water_heat,1,0.0,2.0,0.0,1.0,0.3448190071895599
NY_Z_D_res_water_heat_1,5,0,1,3.4,NY_Z_D,res_water_heat,1,0.0,2.0,0.0,1.0,0.34481900718955993
NY_Z_F_res_water_heat_1,6,0,1,18.0,NY_Z_F,res_water_heat,1,0.0,2.0,0.0,1.0,0.3448190071895598
NY_Z_G-I_res_water_heat_1,7,0,1,33.3,NY_Z_G-I,res_water_heat,1,0.0,2.0,0.0,1.0,0.3448190071895599
NY_Z_J_res_water_heat_1,8,0,1,119.3,NY_Z_J,res_water_heat,1,0.0,2.0,0.0,1.0,0.34481900718955993
NY_Z_K_res_water_heat_1,9,0,1,40.6,NY_Z_K,res_water_heat,1,0.0,2.0,0.0,1.0,0.3448190071895599
PJM_EMAC_res_water_heat_1,10,0,1,331.3,PJM_EMAC,res_water_heat,1,0.0,2.0,0.0,1.0,0.3338332196506511
PJM_Rest_res_water_heat_1,11,0,1,1411.4,PJM_Rest,res_water_heat,1,0.0,2.0,0.0,1.0,0.3505470314948781
NENG_Rest_res_water_heat_1,1,0,1,258.5,NENG_Rest,res_water_heat,1,0.0,2.0,0.0,1.0,0.36437373222461744
NY_Z_A_trans_light_duty_1,2,0,1,59.6,NY_Z_A,trans_light_duty,1,0.0,5.0,0.0,1.0,0.2743571463486809
NY_Z_B_trans_light_duty_1,3,0,1,45.1,NY_Z_B,trans_light_duty,1,0.0,5.0,0.0,1.0,0.2743571463486809
NY_Z_C&E_trans_light_duty_1,4,0,1,89.3,NY_Z_C&E,trans_light_duty,1,0.0,5.0,0.0,1.0,0.27435714634868086
NY_Z_D_trans_light_duty_1,5,0,1,10.3,NY_Z_D,trans_light_duty,1,0.0,5.0,0.0,1.0,0.27435714634868097
NY_Z_F_trans_light_duty_1,6,0,1,54.6,NY_Z_F,trans_light_duty,1,0.0,5.0,0.0,1.0,0.27435714634868097
NY_Z_G-I_trans_light_duty_1,7,0,1,101.0,NY_Z_G-I,trans_light_duty,1,0.0,5.0,0.0,1.0,0.27435714634868097
NY_Z_J_trans_light_duty_1,8,0,1,361.9,NY_Z_J,trans_light_duty,1,0.0,5.0,0.0,1.0,0.27435714634868086
NY_Z_K_trans_light_duty_1,9,0,1,123.3,NY_Z_K,trans_light_duty,1,0.0,5.0,0.0,1.0,0.27435714634868097
PJM_EMAC_trans_light_duty_1,10,0,1,1150.0,PJM_EMAC,trans_light_duty,1,0.0,5.0,0.0,1.0,0.2633938843189036
PJM_Rest_trans_light_duty_1,11,0,1,3499.2,PJM_Rest,trans_light_duty,1,0.0,5.0,0.0,1.0,0.26788073292842907
NENG_Rest_trans_light_duty_1,1,0,1,978.4,NENG_Rest,trans_light_duty,1,0.0,5.0,0.0,1.0,0.2566682014987414
