Time_Index,No_fuel,new_england_coal,new_england_naturalgas,new_england_uranium,middle_atlantic_naturalgas,middle_atlantic_uranium,middle_atlantic_coal,east_north_central_coal,east_north_central_naturalgas,east_north_central_uranium,new_england_naturalgas_ccs100,middle_atlantic_naturalgas_ccs100,east_north_central_naturalgas_ccs90,east_north_central_naturalgas_ccs100
0,0.0,0.09552,0.05306,0.0,0.05306,0.0,0.09552,0.09552,0.05306,0.0,0.0,0.0,0.00531,0.0
1,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
2,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
3,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
4,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
5,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
6,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
7,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
8,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
9,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
10,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
11,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
12,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
13,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
14,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
15,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
16,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
17,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
18,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
19,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
20,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
21,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
22,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
23,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
24,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
25,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
26,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
27,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
28,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
29,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
30,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
31,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
32,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
33,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
34,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
35,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
36,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
37,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
38,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
39,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
40,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
41,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
42,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
43,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
44,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
45,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
46,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
47,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
48,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
49,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
50,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
51,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
52,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
53,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
54,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
55,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
56,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
57,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
58,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
59,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
60,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
61,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
62,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
63,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
64,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
65,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
66,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
67,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
68,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
69,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
70,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
71,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
72,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
73,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
74,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
75,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
76,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
77,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
78,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
79,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
80,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
81,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
82,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
