Period_Index,Rep_Period_Index,Month,Rep_Period
1,4,1,1
2,3,1,2
3,1,1,36
4,3,1,2
5,3,1,2
6,3,1,2
7,3,1,2
8,3,2,2
9,1,2,36
10,1,2,36
11,3,2,2
12,1,2,36
13,1,2,36
14,3,2,2
15,3,3,2
16,3,3,2
17,3,3,2
18,3,3,2
19,1,3,36
20,1,3,36
21,1,3,36
22,3,3,2
23,1,4,36
24,1,4,36
25,3,4,2
26,1,4,36
27,3,4,2
28,1,4,36
29,1,4,36
30,1,4,36
31,1,5,36
32,1,5,36
33,3,5,2
34,1,5,36
35,1,5,36
36,1,5,36
37,1,5,36
38,1,6,36
39,1,6,36
40,2,6,54
41,2,6,54
42,2,6,54
43,2,6,54
44,2,6,54
45,1,6,36
46,2,7,54
47,2,7,54
48,2,7,54
49,2,7,54
50,2,7,54
51,2,7,54
52,2,7,54
53,2,7,54
54,2,8,54
55,2,8,54
56,2,8,54
57,2,8,54
58,2,8,54
59,2,8,54
60,2,8,54
61,2,9,54
62,2,9,54
63,2,9,54
64,2,9,54
65,2,9,54
66,2,9,54
67,2,9,54
68,2,9,54
69,2,10,54
70,2,10,54
71,2,10,54
72,3,10,2
73,1,10,36
74,2,10,54
75,2,10,54
76,3,10,2
77,3,11,2
78,1,11,36
79,1,11,36
80,1,11,36
81,1,11,36
82,1,11,36
83,1,11,36
84,1,12,36
85,1,12,36
86,1,12,36
87,1,12,36
88,1,12,36
89,3,12,2
90,1,12,36
91,3,12,2
